Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.7000000000000001,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.71,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.72,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.73,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.74,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.75,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.76,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.77,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.78,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.79,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.8,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.81,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.8200000000000001,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.8300000000000001,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.84,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.85,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.86,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.87,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.88,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.89,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.9,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.91,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.92,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.93,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.9400000000000001,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.9500000000000001,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.96,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.97,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.98,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.99,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
1.0,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
1.01,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
