Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.79,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.8,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.81,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.8200000000000001,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.8300000000000001,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.84,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.85,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.86,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.87,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.88,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.89,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.9,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.91,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.92,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.93,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.9400000000000001,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.9500000000000001,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.96,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.97,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.98,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.99,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
1.0,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
1.01,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
